species,age,weight,affection,appetite,vaccinated,injury,wound,overall_health
Cow,3,46.25,1.9,3.8,1,0,0,72.4206
Cat,13,40.75,7.7,9.8,0,0,0,48.6144
Rabbit,6,24.87,3.3,4.7,0,1,0,47.544
Cow,13,48.64,8.3,6.1,1,1,1,32.6067
Dog,4,16.71,6.5,7.2,0,0,1,23.1037
Rabbit,8,47.49,7.7,9.3,0,1,0,24.8986
Cat,1,30.8,7.7,4.2,0,1,1,46.4812
Dog,3,49.9,1.0,7.7,0,1,0,19.2022
Dog,10,32.84,1.4,3.8,0,0,0,12.615
Dog,2,42.75,1.0,1.8,0,1,1,0.9326
Cat,8,37.83,9.2,9.0,0,0,0,23.5037
Cow,3,48.34,6.0,4.6,0,1,0,34.4165
Cat,6,17.52,2.8,7.3,1,0,0,59.4813
Dog,3,40.74,2.3,3.4,0,0,1,20.3452
Cow,11,19.26,5.1,1.2,1,1,1,3.8809
Cat,4,42.86,2.8,1.9,0,0,1,4.9458
Rabbit,3,42.24,7.5,3.7,1,1,1,37.6013
Cow,7,17.1,3.6,1.5,0,1,1,38.9454
Rabbit,9,21.84,9.6,7.0,1,1,0,30.8077
Cow,12,48.78,5.8,9.3,0,1,1,29.5652
Cat,6,46.02,7.7,6.0,0,0,1,22.2927
Cow,9,18.36,2.5,5.8,1,0,0,65.5726
Cat,13,48.18,3.6,3.1,1,1,0,28.4135
Dog,4,46.05,5.4,2.9,1,0,0,87.3999
Cow,6,44.97,7.3,7.5,0,1,1,2.1659
Rabbit,3,49.41,8.2,9.1,0,1,0,29.0284
Rabbit,5,23.77,3.7,1.8,0,0,0,3.7437
Rabbit,3,35.9,5.7,9.7,0,1,1,45.0397
Cat,3,28.0,7.9,8.1,1,0,0,58.1418
Cat,14,1.37,5.0,2.7,1,0,0,97.9138
Cat,3,3.64,2.9,5.3,1,0,1,39.9542
Cow,12,36.46,6.8,3.2,1,0,0,77.6231
Rabbit,14,46.82,2.6,4.8,1,0,1,19.8353
Rabbit,1,47.76,7.1,5.5,0,0,1,12.3682
Dog,3,4.06,7.8,6.6,0,0,1,4.248
Rabbit,10,27.18,5.5,3.6,0,1,1,16.924
Cat,9,36.26,2.2,3.3,0,1,0,36.7918
Cat,4,34.11,7.1,8.1,1,0,1,44.0974
Dog,12,20.72,7.1,3.5,0,1,1,18.9524
Rabbit,12,11.78,1.9,6.1,0,0,0,41.7743
Cat,8,23.33,8.3,5.6,1,1,1,9.3468
Cow,13,49.46,6.8,4.2,0,1,1,36.3535
Rabbit,3,13.93,7.1,4.6,1,0,1,39.5813
Dog,2,2.47,3.6,8.6,1,1,0,31.4653
Rabbit,7,14.29,5.5,8.0,1,0,1,14.6431
Rabbit,10,17.2,2.7,4.5,0,1,0,40.3373
Cat,14,39.13,1.8,8.0,1,1,1,26.5512
Dog,11,3.73,3.2,2.9,1,0,0,92.324
Rabbit,10,28.4,6.6,9.8,1,1,1,15.7026
Cat,1,34.62,3.6,6.4,0,1,0,42.7842
Rabbit,1,33.55,9.9,7.8,1,0,0,50.4017
Rabbit,3,12.86,9.4,1.1,0,1,1,20.2865
Cow,14,9.56,2.2,7.9,0,0,0,40.1736
Cat,11,18.95,3.5,5.9,1,0,1,2.4242
Cat,12,11.17,5.4,2.8,0,0,0,14.7433
Cat,12,23.15,6.8,9.9,0,1,1,7.1253
Dog,1,45.04,3.1,7.0,0,1,0,10.5873
Dog,7,18.67,9.0,3.3,0,1,0,6.7332
Cat,10,42.74,9.5,6.2,1,0,1,25.4064
Cow,9,3.02,3.4,5.7,1,1,1,27.9577
Dog,8,3.12,2.1,6.1,1,0,0,85.1735
Cat,13,13.89,9.3,2.3,1,0,1,28.9245
Cow,9,1.9,3.7,4.9,1,0,0,66.0623
Dog,4,40.0,3.0,2.6,0,0,0,8.3331
Rabbit,1,49.96,6.8,9.8,1,1,1,48.3957
Cow,5,12.77,8.8,5.7,0,0,1,17.9667
Rabbit,13,17.33,7.3,9.9,0,0,0,5.8823
Cow,2,28.48,4.2,8.0,1,1,0,45.551
Cow,4,5.42,5.0,8.3,1,1,0,14.6619
Rabbit,3,48.88,9.8,2.3,0,0,0,8.6364
Cow,6,26.03,3.3,7.7,1,0,0,69.9386
Dog,14,28.57,8.3,9.4,1,0,1,48.7779
Dog,2,20.26,7.1,3.3,1,1,1,41.3709
Cow,8,47.34,1.5,7.2,1,0,1,33.2792
Cow,15,3.65,6.1,6.8,1,0,0,70.7256
Cat,12,18.58,8.5,5.5,1,1,1,19.2631
Rabbit,1,13.54,5.9,6.5,0,1,1,46.1007
Cat,14,31.97,3.8,8.3,0,0,1,25.3154
Cat,9,22.27,1.8,7.7,1,0,0,56.2718
Cow,9,16.48,3.9,8.3,0,1,1,32.2177
Rabbit,3,49.37,7.4,4.9,1,0,0,96.3905
Rabbit,1,16.13,5.8,8.3,0,1,0,10.5383
Cat,10,13.91,1.7,6.4,1,1,0,46.8439
Rabbit,10,11.53,9.5,7.8,0,0,0,17.91
Cow,8,29.0,7.9,3.8,0,0,1,17.537
Dog,9,34.29,6.5,1.4,1,0,1,13.8655
Cat,8,2.1,6.0,3.0,0,0,1,31.1356
Rabbit,6,18.83,1.8,2.7,0,0,0,5.4066
Rabbit,3,7.22,3.8,4.4,1,1,0,30.4087
Cow,9,9.03,8.1,1.9,0,0,1,41.7731
Rabbit,13,29.09,9.8,7.0,1,0,1,43.4045
Cow,5,35.16,9.7,6.1,0,0,1,47.5683
Rabbit,3,20.85,3.7,9.8,1,1,1,37.494
Dog,12,10.48,6.0,7.5,0,0,0,16.8283
Cow,15,32.06,5.4,5.3,0,1,0,19.7101
Rabbit,8,40.48,1.7,6.4,0,0,0,41.411
Dog,1,1.3,6.4,7.4,0,0,1,2.9382
Cat,15,34.38,6.9,9.7,0,1,1,29.5868
Dog,8,5.85,8.8,7.3,0,0,1,30.1477
Cat,5,3.75,3.3,7.9,1,0,1,23.3605
Dog,2,14.02,5.2,7.8,1,0,1,26.3648
Cat,3,24.43,4.6,8.7,1,1,0,33.7975
Rabbit,12,35.19,3.6,9.3,0,1,1,29.324
Rabbit,3,44.36,9.4,7.0,1,1,1,18.7091
Cat,9,43.99,8.6,4.3,1,1,0,7.1222
Cat,1,16.61,7.4,6.8,1,0,1,44.795
Cow,12,2.07,9.9,8.9,1,0,1,44.4119
Rabbit,7,28.49,9.2,8.4,0,1,0,45.1579
Dog,10,29.84,9.3,5.7,0,0,0,46.2895
Cow,1,19.65,7.3,7.2,1,1,0,47.1941
Dog,9,44.55,3.1,6.1,1,0,1,22.4647
Rabbit,1,12.92,5.8,4.4,0,1,0,41.2527
Dog,9,12.77,5.7,2.0,0,1,0,25.4017
Rabbit,10,41.53,8.6,9.3,0,0,1,12.0471
Rabbit,12,36.09,5.7,2.4,1,0,1,31.1335
Dog,10,9.8,5.8,4.9,0,0,1,40.4471
Rabbit,8,8.35,9.8,7.5,0,1,1,31.1228
Rabbit,1,8.77,3.9,5.5,0,1,0,10.2235
Dog,2,20.59,7.9,7.8,1,0,0,51.3254
Cow,4,35.44,3.6,9.4,1,0,1,46.0065
Rabbit,4,1.42,7.2,5.4,0,1,1,29.4021
Cat,12,27.24,2.7,8.4,1,1,0,1.8576
Cat,1,13.6,3.1,5.0,1,1,0,14.2124
Rabbit,1,41.77,1.8,5.9,1,0,0,76.1163
Cow,15,44.85,3.3,4.0,1,1,0,43.343
Rabbit,4,33.51,5.3,3.3,0,0,1,47.9455
Rabbit,6,23.18,8.1,5.5,1,1,0,26.4537
Rabbit,1,2.3,1.6,2.3,1,1,1,47.1848
Dog,15,7.3,9.9,8.9,0,0,1,6.902
Cat,4,20.34,2.4,9.2,0,1,0,47.7406
Cow,6,11.44,1.8,4.1,0,0,0,40.3122
Cow,12,39.38,3.3,3.2,1,1,0,40.3427
Cow,2,2.15,6.2,1.2,1,1,1,36.1931
Dog,4,34.57,4.8,5.1,0,1,0,25.3022
Rabbit,15,28.94,6.1,6.3,0,0,1,14.5992
Rabbit,15,39.42,9.5,3.1,0,1,1,36.6596
Rabbit,3,14.67,8.3,1.1,0,1,1,41.0162
Dog,11,28.55,6.3,9.5,0,0,0,25.9787
Cow,3,19.93,7.3,3.0,0,1,0,0.8191
Cat,11,34.47,5.6,2.2,1,1,0,6.8648
Rabbit,9,40.71,3.1,3.4,0,0,0,10.2387
Cat,8,18.85,7.8,9.9,0,1,1,43.8978
Rabbit,10,3.03,1.4,7.8,1,0,1,29.4194
Cow,3,23.95,5.3,8.7,1,1,0,18.7817
Cat,13,15.4,6.1,5.2,1,0,1,19.0115
Dog,6,4.7,3.2,6.9,0,1,1,32.0539
Dog,5,35.67,5.4,4.1,0,0,0,6.2141
Cow,6,23.74,7.4,3.6,1,0,1,43.9131
Dog,2,39.51,5.5,1.8,1,0,1,48.4164
Cow,10,42.27,4.2,8.9,1,0,0,81.0006
Dog,3,21.85,5.6,3.1,0,1,0,41.3619
Rabbit,1,47.15,7.8,1.2,1,0,1,36.3459
Cat,2,40.86,3.5,7.3,0,0,0,7.9935
Cat,2,33.36,7.5,4.1,1,0,1,19.4542
Cow,9,20.42,7.8,6.5,0,0,1,36.4947
Rabbit,4,5.98,3.7,7.2,0,0,1,41.0995
Dog,5,14.41,4.0,3.0,0,0,0,44.2097
Rabbit,10,23.88,3.2,5.0,0,0,0,5.2551
Cow,7,45.17,7.1,7.0,1,0,1,13.7115
Cow,2,5.34,3.0,2.5,0,1,0,38.3634
Rabbit,13,36.19,2.1,7.3,1,0,1,12.7755
Dog,2,34.53,6.9,3.9,1,0,0,91.0687
Cat,11,20.55,6.0,5.0,1,1,1,37.6455
Cat,13,19.55,6.4,6.6,0,1,0,27.2111
Dog,3,17.39,9.3,6.7,0,1,0,2.4872
Cat,9,39.8,4.8,9.4,0,0,1,21.5613
Cow,8,1.92,1.6,6.6,0,1,1,37.4737
Rabbit,11,37.18,1.9,6.7,0,1,1,36.936
Dog,7,24.03,9.1,8.5,0,1,0,31.6614
Cat,13,36.11,9.1,4.8,0,1,0,15.6812
Rabbit,5,4.32,4.8,2.1,1,1,0,44.0604
Rabbit,6,45.21,8.6,5.0,0,1,1,28.8217
Cat,15,33.01,9.1,7.4,0,1,1,18.9244
Cow,9,30.15,2.9,6.0,0,1,1,28.0328
Dog,2,44.15,6.2,5.4,1,0,0,65.6925
Rabbit,13,44.97,4.8,1.5,1,0,0,89.0399
Dog,12,44.14,3.4,8.9,0,0,0,14.3744
Cat,13,19.65,4.6,2.9,0,1,1,42.3388
Dog,10,14.39,1.6,2.4,0,1,0,33.8204
Cow,5,8.6,5.4,3.3,1,0,1,12.715
Cow,8,2.76,3.2,5.5,1,1,1,26.3278
Cat,7,36.65,2.0,7.6,1,0,1,6.453
Rabbit,9,24.21,2.1,8.1,0,1,1,30.2638
Dog,11,31.57,9.9,1.9,1,0,1,16.1233
Cow,11,25.54,2.8,9.2,1,0,1,0.2823
Cow,7,46.06,3.6,5.9,0,1,0,32.5387
Dog,14,45.54,8.8,4.0,0,0,0,27.9804
Dog,6,48.53,6.0,8.4,0,0,0,42.4201
Dog,4,45.95,9.0,4.9,0,1,0,8.999
Rabbit,12,41.23,1.4,9.5,1,0,0,79.8701
Cow,12,19.83,1.4,3.6,0,0,1,23.5924
Cat,12,16.0,6.1,6.5,0,0,1,38.7246
Dog,12,6.17,3.5,3.3,1,0,0,88.6019
Cat,2,14.42,1.5,8.9,1,0,0,72.5957
Dog,7,21.59,7.8,5.0,0,1,0,26.9651
Dog,9,14.54,5.3,8.4,0,0,0,30.8575
Dog,5,41.92,6.3,3.8,1,1,1,15.0943
Rabbit,12,30.17,7.7,4.7,0,1,0,31.6763
Cat,14,20.8,5.0,6.2,0,1,1,38.4533
Dog,9,26.75,2.3,3.3,1,0,1,18.5097
Cow,9,43.73,6.8,7.5,0,0,0,21.3442
Cow,14,15.41,2.4,8.5,0,0,1,33.263
Cow,8,14.9,4.1,8.4,0,1,1,8.1794
Cow,6,24.91,4.7,8.2,0,1,0,47.7173
Cow,6,18.14,9.3,3.1,1,1,1,7.1031
Rabbit,4,25.19,6.1,9.4,0,0,1,44.3172
Rabbit,3,13.23,1.8,6.8,0,1,0,9.0349
Cow,8,33.82,7.5,2.9,1,1,1,5.9193
Cat,5,15.05,6.4,1.4,0,0,1,11.8096
Cow,1,7.26,7.1,9.6,1,1,1,3.5922
Rabbit,7,41.24,2.8,7.1,0,0,1,47.0662
Cat,1,25.35,6.0,8.2,0,0,0,23.6162
Dog,10,14.24,6.7,1.2,0,0,0,44.5221
Rabbit,3,5.9,3.1,9.7,1,0,0,87.5159
Cat,3,47.73,1.1,5.8,1,1,0,1.9836
Cow,3,21.19,6.2,9.1,1,1,1,6.0539
Cat,11,46.56,9.3,9.6,0,1,0,33.1073
Cow,9,22.93,6.0,7.7,1,1,1,38.4075
Cat,3,9.65,9.3,3.9,0,1,1,22.2233
Dog,5,33.48,6.7,3.2,0,0,0,20.7246
Cat,8,46.32,8.9,6.0,1,0,0,72.1138
Dog,12,39.37,7.9,8.3,0,1,1,35.66
Rabbit,8,13.74,1.0,1.1,0,0,1,34.9991
Cat,7,7.11,6.7,2.2,1,0,1,27.5537
Rabbit,14,23.6,2.9,3.3,1,1,0,20.6184
Cow,10,26.44,5.7,2.1,0,1,1,33.18
Rabbit,12,9.29,6.5,5.2,0,0,0,13.4626
Dog,11,32.79,1.3,7.6,1,0,0,84.4508
Cat,10,9.4,5.2,9.0,0,1,1,38.3179
Cat,13,45.68,7.7,6.8,1,1,1,18.9627
Cow,3,4.57,6.9,7.4,1,1,0,22.8523
Dog,5,44.68,9.0,6.2,1,0,1,16.3242
Cat,7,6.56,8.0,10.0,0,1,0,26.8207
Dog,11,15.63,2.8,7.0,0,0,1,46.2697
Cat,7,32.13,6.8,6.0,0,1,0,47.4928
Rabbit,10,23.98,6.8,2.9,1,0,1,26.389
Dog,6,8.32,4.1,8.8,1,0,1,10.1398
Rabbit,6,45.35,5.3,5.5,1,1,0,11.978
Cow,10,24.47,8.0,8.9,1,0,0,84.0815
Dog,6,28.18,5.4,2.3,0,1,0,29.7297
Cat,13,5.37,5.3,5.1,1,0,1,5.6592
Cow,15,7.15,3.4,6.8,0,1,0,24.8506
Cat,3,48.38,9.9,9.1,0,1,1,10.3786
Dog,12,33.63,1.0,7.8,0,1,0,26.8976
Rabbit,15,30.39,3.5,2.8,1,0,1,43.0
Dog,11,16.99,1.0,5.8,1,1,1,5.804
Dog,7,49.09,2.6,4.1,0,0,0,14.9179
Rabbit,11,49.22,5.0,6.4,0,1,0,26.3559
Dog,4,25.71,4.1,9.4,0,1,0,17.3144
Dog,6,12.34,3.0,4.1,0,1,0,29.2235
Rabbit,13,30.87,9.5,8.2,0,0,0,39.2072
Cow,9,39.46,6.1,2.6,1,1,1,3.5521
Rabbit,10,5.55,7.5,2.2,0,0,1,37.6999
Dog,7,28.91,8.0,2.3,1,0,1,19.1787
Cat,6,13.71,5.4,3.2,1,0,1,4.3738
Cow,7,27.6,7.5,1.4,0,1,0,21.9993
Rabbit,13,33.96,3.8,5.5,1,1,0,22.1579
Dog,4,4.47,4.9,1.6,1,0,1,31.0747
Dog,6,49.49,2.1,7.3,1,1,0,8.0523
Cow,9,44.31,1.4,9.5,1,1,0,37.9292
Rabbit,8,14.56,5.0,8.3,0,1,1,36.1773
Cow,13,42.36,5.0,8.4,1,0,0,73.0321
Cow,12,44.76,8.6,2.2,1,0,1,8.1649
Rabbit,6,3.55,8.4,5.4,0,0,1,5.5489
Cow,3,21.05,6.0,2.1,1,0,0,77.7978
Cow,1,8.28,9.7,3.1,0,0,1,0.7027
Rabbit,3,40.04,9.0,5.3,0,0,1,36.6602
Rabbit,4,7.27,5.6,2.7,0,0,1,30.9968
Rabbit,6,10.67,3.8,1.3,0,0,1,35.7594
Cat,12,1.62,9.0,2.9,0,0,1,35.9847
Cow,13,35.3,5.6,2.5,1,1,1,35.4705
Cow,13,27.2,2.9,4.0,1,0,1,44.1585
Cow,3,31.79,6.1,3.6,0,1,0,29.6037
Rabbit,13,12.63,3.9,1.2,0,1,0,19.5831
Cat,6,20.41,2.8,3.8,1,1,1,10.6384
Dog,12,31.99,9.4,4.8,1,1,0,35.524
Cat,3,28.72,2.3,4.8,0,1,0,6.8333
Dog,8,8.94,8.4,7.9,0,0,1,27.8444
Rabbit,12,49.04,8.9,1.5,0,0,1,21.3646
Cow,15,22.1,4.0,7.6,1,0,1,28.1656
Cat,14,41.71,9.9,6.2,1,0,1,44.7948
Cow,6,18.17,6.6,2.5,1,0,1,16.7401
Cat,10,8.95,4.8,4.2,0,1,1,18.0006
Cat,7,34.59,2.2,4.8,0,1,1,30.06
Dog,15,38.91,2.4,6.7,1,1,1,6.8691
Rabbit,2,13.15,5.4,3.9,0,1,0,29.0381
Cow,7,8.43,6.4,5.8,0,1,0,14.0565
Cow,9,32.23,8.2,9.0,1,0,0,83.1093
Rabbit,4,38.81,8.2,2.1,0,1,1,17.1052
Cat,9,45.43,6.1,9.6,0,1,0,21.9707
Dog,5,36.51,1.6,5.1,0,0,0,21.5614
Cat,3,20.09,1.8,2.6,1,0,1,16.5093
Dog,2,47.11,7.1,6.9,0,0,0,33.0782
Dog,5,37.64,2.4,3.7,0,1,1,42.6481
Cow,4,4.55,7.4,10.0,0,1,1,9.3802
Dog,4,32.25,6.5,2.7,0,0,1,9.9455
Rabbit,4,13.35,9.0,7.8,1,0,1,39.2121
Rabbit,14,24.17,5.1,3.2,1,1,1,9.7771
Cow,8,34.13,8.5,4.7,0,0,1,10.3182
Cow,2,43.57,3.5,7.9,0,1,0,30.3187
Cow,14,27.27,3.5,8.5,1,1,1,31.6974
Cow,8,4.94,1.3,9.4,0,0,0,35.4691
Rabbit,8,10.64,2.2,7.2,0,0,1,28.8559
Dog,14,48.42,6.5,3.1,0,1,1,24.9159
Cat,10,28.03,4.5,4.3,1,1,1,6.6829
Rabbit,1,15.48,4.6,1.1,0,0,0,34.0168
Rabbit,7,22.95,9.2,7.4,1,0,1,46.1443
Cow,11,26.82,2.1,7.4,0,0,1,3.4436
Rabbit,8,8.91,9.4,5.9,0,0,1,16.1249
Cat,5,43.47,8.0,9.4,1,0,1,18.0307
Dog,1,27.02,2.5,8.4,1,1,1,14.0827
Rabbit,14,19.48,9.5,9.9,0,0,1,7.5298
Cow,10,40.09,6.3,2.6,1,0,0,92.485
Dog,11,41.09,1.9,1.5,0,1,0,2.6801
Cow,10,23.26,3.9,6.8,1,1,0,27.5152
Cow,1,33.4,6.2,4.0,0,0,0,47.6482
Dog,4,6.11,5.5,2.8,1,1,0,40.7826
Cat,2,37.43,2.8,5.9,1,0,1,33.2676
Dog,10,22.39,8.9,7.8,0,0,1,26.263
Rabbit,10,2.15,2.3,6.2,0,0,1,21.4541
Dog,11,22.51,2.2,1.2,0,1,1,12.4173
Cow,12,14.05,6.3,4.7,0,1,0,2.9891
Rabbit,13,15.07,4.5,1.7,0,0,1,31.915
Cat,6,32.23,7.0,7.4,0,0,1,40.1123
Dog,3,32.48,8.9,1.5,0,1,0,21.4053
Cow,4,22.76,7.8,2.1,1,1,1,10.8771
Rabbit,11,3.35,8.3,9.7,0,1,1,25.8773
Cow,13,9.77,9.9,1.8,0,0,1,14.5185
Dog,1,43.19,2.7,5.4,1,0,0,65.5935
Rabbit,5,12.39,9.1,5.6,1,1,0,37.7124
Rabbit,6,38.68,5.9,1.3,1,0,1,35.0215
Cat,6,39.55,3.5,2.5,1,1,0,16.5652
Dog,14,8.09,5.2,3.8,1,0,1,22.2055
Dog,7,19.58,5.3,9.6,0,0,0,47.487
Rabbit,4,25.44,3.0,3.0,1,0,1,15.6354
Cow,6,20.38,2.5,8.5,1,0,1,43.0837
Dog,15,43.61,8.4,1.0,1,1,1,22.8854
Rabbit,4,49.4,5.1,2.9,1,0,0,62.123
Cow,4,23.68,2.3,2.5,0,0,0,48.737
Rabbit,7,8.14,9.9,1.2,1,1,1,35.1659
Dog,6,8.48,8.5,5.8,0,1,1,33.5882
Dog,3,23.2,7.6,2.7,0,1,1,2.5957
Rabbit,8,30.45,6.9,1.1,0,0,0,25.7543
Dog,3,42.6,2.9,3.9,0,0,0,40.1077
Rabbit,11,23.77,9.1,1.5,0,0,1,20.2556
Dog,7,41.52,7.4,3.0,1,0,1,4.8905
Cow,8,45.84,1.2,8.7,1,0,0,73.3083
Cow,5,4.15,8.2,2.1,1,0,1,23.2525
Rabbit,4,22.87,1.8,5.6,0,1,1,15.6413
Rabbit,13,47.38,9.7,8.7,1,0,0,62.9674
Rabbit,13,43.23,2.7,9.4,1,0,1,23.8107
Cow,14,21.3,4.4,2.5,0,0,1,30.0732
Dog,7,22.59,7.2,6.8,1,1,0,7.1568
Cat,6,22.76,9.6,4.5,0,1,0,8.5464
Cat,4,39.42,9.2,1.1,1,0,0,55.949
Cow,1,17.82,5.3,7.9,1,0,0,66.5196
Cow,9,13.3,3.9,7.1,1,0,1,13.2024
Rabbit,1,44.96,6.1,9.0,1,1,0,42.0979
Cow,15,28.0,2.2,4.4,0,0,1,4.9001
Rabbit,9,40.32,8.6,3.9,0,1,1,45.2424
Dog,12,9.2,6.7,5.2,0,1,0,3.3393
Dog,3,28.94,2.4,5.0,1,1,1,5.7396
Dog,9,8.07,5.9,3.8,0,1,1,27.6575
Dog,9,46.07,4.0,8.1,1,0,1,13.4313
Cat,13,3.8,2.6,1.7,0,0,1,34.3812
Rabbit,1,7.79,9.1,5.9,1,0,0,58.7161
Cat,3,44.42,4.1,5.8,1,0,1,38.0535
Cat,4,15.37,7.3,3.6,0,0,0,42.1897
Cat,15,10.63,1.5,3.7,1,0,1,33.6795
Cow,4,2.23,8.7,7.4,1,1,1,3.2013
Cat,9,13.41,4.5,5.2,1,0,0,97.3985
Cat,10,26.96,1.5,4.0,0,1,0,36.6756
Rabbit,3,34.78,8.2,5.9,0,1,1,13.5152
Cat,5,29.96,2.7,8.2,1,0,1,39.4393
Rabbit,9,20.23,9.5,1.2,0,0,0,18.6161
Cat,12,20.26,2.5,3.7,0,1,1,4.3104
Cat,6,4.02,7.7,5.1,1,0,1,0.0152
Cat,8,41.28,4.8,7.1,0,1,1,43.6033
Rabbit,4,27.99,5.2,9.7,0,0,0,35.587
Cat,11,18.39,9.9,7.4,0,1,1,29.8485
Cow,11,32.43,9.4,7.2,1,0,0,79.752
Cow,5,24.05,9.0,2.3,0,0,1,44.275
Cow,15,1.85,7.5,3.9,0,1,0,5.2098
Cow,15,8.42,7.3,7.6,1,0,0,69.2756
Dog,3,49.92,1.1,8.4,1,0,0,90.8266
Cow,2,43.93,6.6,7.5,1,0,0,55.5048
Rabbit,5,29.05,8.4,7.7,0,0,1,19.0324
Dog,11,37.31,1.7,8.6,0,0,0,16.766
Dog,7,9.48,6.4,1.1,0,0,1,9.3033
Dog,13,13.15,3.9,9.8,1,1,0,25.8158
Dog,14,22.89,5.7,4.7,0,0,1,31.6066
Rabbit,15,35.5,4.4,2.7,0,1,0,20.0945
Dog,15,8.21,9.4,5.8,1,0,1,14.3028
Dog,15,5.58,4.8,3.8,0,1,1,0.9879
Cow,1,18.59,3.6,5.0,0,1,0,27.8952
Rabbit,8,16.08,5.0,5.7,1,0,0,56.169
Cow,13,1.3,6.4,4.8,1,1,1,1.9145
Dog,13,33.04,6.8,1.3,0,1,0,7.9973
Rabbit,14,26.47,3.3,9.3,1,1,1,15.0434
Cat,10,37.71,8.5,2.2,1,0,1,17.453
Cat,9,37.89,10.0,5.3,1,0,0,77.6592
Rabbit,2,43.04,8.9,5.8,1,0,0,63.2281
Dog,14,40.06,9.5,8.8,0,0,1,31.6376
Cat,7,27.55,1.2,1.7,1,1,1,46.4206
Dog,15,24.09,8.4,9.3,0,1,0,37.3134
Rabbit,4,15.32,4.2,9.8,1,1,1,10.1131
Cow,2,49.93,2.4,1.6,0,0,1,33.1674
Cat,8,15.34,4.6,2.7,1,0,1,9.7979
Rabbit,10,26.27,5.0,2.2,0,1,1,10.2611
Cat,13,14.31,6.1,6.9,0,0,1,32.2692
Dog,8,10.7,4.4,8.1,1,1,1,25.7218
Dog,7,8.94,5.2,8.5,0,1,0,3.1971
Cat,15,30.62,3.7,9.6,0,1,1,46.5878
Rabbit,8,6.75,1.8,8.8,1,0,1,5.9459
Dog,8,27.13,8.2,3.3,0,1,0,40.1355
Cat,9,12.57,6.3,9.9,0,1,0,13.8292
Rabbit,3,35.74,9.7,6.6,0,1,0,34.6383
Rabbit,3,48.35,6.6,2.7,0,0,0,47.6934
Cow,15,18.07,5.2,5.8,0,1,0,1.3982
Rabbit,1,47.3,6.9,5.2,0,0,1,1.8977
Cat,2,9.41,2.1,8.2,0,1,1,11.723
Dog,15,1.51,7.8,1.6,0,1,0,17.1022
Dog,7,14.85,8.5,5.4,1,1,0,42.1959
Rabbit,5,6.48,8.5,6.8,0,0,1,0.1698
Cat,8,44.78,3.2,8.1,0,1,1,25.9418
Cat,8,45.69,4.7,9.4,0,1,0,42.8386
Rabbit,5,16.43,2.7,4.6,1,1,1,4.9622
Cat,13,23.53,1.6,5.6,0,0,1,1.3335
Cow,14,12.65,5.9,9.6,0,1,1,16.443
Cow,14,20.94,5.9,2.4,1,0,1,20.5541
Cow,12,30.19,2.3,3.3,0,0,1,22.911
Dog,1,33.82,7.0,5.1,0,0,1,40.3651
Cow,7,37.67,7.0,5.6,0,0,1,19.1519
Cat,10,44.85,8.1,8.1,0,1,0,28.8071
Cow,11,4.26,9.7,5.7,1,1,0,8.2221
Cat,8,27.45,6.5,8.1,1,1,1,16.1074
Cat,12,49.03,3.8,5.5,1,1,0,7.1879
Cat,14,14.9,2.9,4.4,1,1,1,38.2566
Dog,9,10.93,7.6,5.6,0,1,1,45.3668
Dog,13,47.42,7.6,8.3,0,1,0,14.9249
Dog,8,19.79,5.4,4.8,1,0,0,81.3749
Rabbit,14,29.34,4.8,8.3,1,1,1,45.8193
Dog,6,11.62,5.6,6.0,1,0,1,8.4667
Dog,3,30.93,4.4,1.4,1,1,1,16.3971
Cat,10,3.1,2.2,5.7,0,0,0,25.7415
Rabbit,5,15.25,3.3,6.7,1,1,0,5.2548
Rabbit,14,12.01,3.5,2.8,0,1,1,39.4006
Cow,1,48.17,4.5,6.4,0,1,1,17.7055
Cat,14,36.2,1.0,8.3,1,0,1,36.9277
Rabbit,12,31.56,7.0,6.3,0,1,0,42.9317
Dog,4,37.13,2.8,5.8,0,1,1,13.7411
Cow,5,32.58,7.8,4.3,0,0,1,6.4902
Dog,2,1.59,8.6,10.0,0,0,1,23.6122
Rabbit,1,20.35,6.9,2.9,0,1,1,5.1801
Dog,9,26.66,4.2,7.2,1,0,1,33.881
Cat,3,36.18,9.2,1.6,0,1,1,1.9573
Cat,14,7.73,2.7,6.8,0,0,1,6.5707
Rabbit,3,18.43,6.2,4.1,0,0,0,29.1791
Rabbit,9,33.36,6.0,4.6,1,1,0,24.4536
Cat,2,11.77,5.5,10.0,1,0,1,13.4068
Cat,4,24.41,1.5,1.5,0,1,1,33.5799
Cat,3,22.11,9.0,8.9,0,0,1,13.9916
Dog,10,47.05,4.1,4.1,1,1,1,34.558
Rabbit,15,11.1,7.3,5.6,0,1,0,33.5
Dog,10,48.4,3.1,3.4,0,0,0,6.07
Cow,14,40.66,9.4,4.0,0,0,1,1.8403
Cat,13,5.82,2.2,9.6,0,0,1,0.3531
Cow,9,37.27,3.8,8.7,1,0,0,55.6546
Cow,9,37.19,2.2,1.9,0,0,1,41.8163
Cow,14,19.72,1.3,1.6,1,1,0,31.7268
Dog,11,42.25,3.7,1.2,1,1,0,9.821
Rabbit,15,14.35,2.3,5.8,0,0,1,34.9052
Dog,8,23.15,5.5,3.1,0,0,1,33.2277
Cat,15,2.22,3.6,2.4,0,1,1,37.2465
